SectionId,NumOfTickets,Date
sec_end_21_end,10,8/9/2005 7:45:28 PM
sec_end_21_end,8,6/6/1972 7:55:12 PM
sec_side_36_side,7,5/6/1966 5:11:54 AM
sec_corner_6_corner,1,2/2/1979 9:21:29 PM
sec_side_36_side,5,12/4/1940 5:12:05 AM
sec_corner_17_corner,8,9/28/1999 11:16:30 AM
sec_club_31_club,7,3/24/1940 8:47:13 PM
sec_club_29_club,8,9/2/1968 3:20:53 AM
sec_side_15_side,3,12/22/1945 3:57:52 AM
sec_pref_30_pref,5,11/30/1999 12:27:35 PM
sec_corner_39_corner,7,4/8/1968 6:15:58 AM
sec_pref_32_pref,7,12/11/2003 6:19:51 PM
sec_pref_31_pref,8,3/21/1974 12:33:37 AM
sec_corner_19_corner,10,10/15/1953 12:23:59 PM
sec_side_14_side,4,5/17/2017 1:57:51 PM
sec_pref_30_pref,6,9/21/1941 12:48:09 PM
sec_side_26_side,2,8/1/1942 8:57:56 AM
sec_end_2_end,4,9/25/1957 7:07:15 PM
sec_pref_30_pref,5,9/22/1992 5:37:03 PM
sec_corner_37_corner,5,8/23/1998 4:50:34 AM
sec_pref_34_pref,3,7/14/1953 2:44:51 AM
sec_corner_37_corner,4,8/1/1993 5:32:06 AM
sec_side_8_side,6,12/1/2019 8:39:48 AM
sec_corner_25_corner,2,12/23/2006 1:29:43 AM
sec_side_12_side,8,5/31/2019 1:10:46 PM
sec_side_12_side,5,5/5/2002 9:36:57 AM
sec_corner_24_corner,6,6/17/1964 12:07:49 AM
sec_side_27_side,5,2/19/1955 4:03:43 PM
sec_corner_3_corner,8,9/3/2001 11:27:38 AM
sec_side_36_side,10,8/2/1956 9:44:22 PM
sec_corner_24_corner,8,9/15/1965 11:04:53 AM
sec_side_35_side,9,8/17/1964 1:15:24 PM
sec_corner_6_corner,6,8/17/1949 12:43:06 PM
sec_corner_23_corner,2,12/9/1984 9:48:00 AM
sec_corner_17_corner,8,4/9/1989 5:18:37 PM
sec_corner_5_corner,7,9/22/2015 3:13:25 PM
sec_corner_37_corner,4,5/12/2002 5:37:32 PM
sec_end_22_end,4,7/29/1998 5:06:00 PM
sec_corner_3_corner,1,9/25/1944 7:42:35 PM
sec_side_9_side,3,1/29/1948 3:08:20 PM
sec_side_27_side,8,11/10/1969 4:05:07 PM
sec_side_27_side,7,5/2/1957 10:02:26 AM
sec_side_15_side,4,10/4/1945 1:22:18 PM
sec_side_27_side,5,4/27/2013 7:32:11 PM
sec_club_29_club,7,11/1/1950 12:22:10 AM
sec_side_8_side,6,6/8/1956 6:44:18 AM
sec_club_30_club,4,1/18/2017 9:58:29 AM
sec_side_10_side,8,1/3/1967 2:57:16 AM
sec_side_12_side,10,2/8/1977 6:52:19 AM
sec_side_27_side,3,1/21/1970 4:19:48 PM
sec_side_9_side,4,9/6/1985 12:35:27 AM
sec_side_26_side,2,8/2/1976 3:05:49 AM
sec_side_11_side,3,12/24/1940 9:51:43 AM
sec_side_14_side,1,6/2/1987 5:10:47 PM
sec_corner_25_corner,1,12/22/2006 8:54:35 PM
sec_side_28_side,8,10/29/1966 11:16:13 AM
sec_end_2_end,10,6/20/2014 7:32:39 AM
sec_clb_aut_clb_aut,7,8/27/1984 1:43:59 PM
sec_side_27_side,5,7/7/2014 4:36:21 PM
sec_cb_cb,2,1/21/1942 4:20:51 PM
sec_club_32_club,9,3/16/1964 8:29:56 PM
sec_side_29_side,10,4/5/2017 12:59:59 PM
sec_end_22_end,8,12/17/2001 4:50:34 AM
sec_end_1_end,5,12/23/1942 6:55:33 AM
sec_end_2_end,1,6/17/1941 7:26:43 AM
sec_side_16_side,2,7/4/1951 11:47:44 AM
sec_side_12_side,5,8/8/1951 4:56:47 PM
sec_side_13_side,9,2/6/2002 7:54:52 AM
sec_side_7_side,2,2/23/2019 7:24:34 PM
sec_corner_23_corner,5,10/3/2003 2:15:52 AM
sec_cb_cb,4,1/4/2017 6:17:42 AM
sec_club_29_club,4,12/15/1954 6:47:23 PM
sec_end_40_end,7,2/10/1997 8:26:58 PM
sec_side_14_side,8,4/4/1979 6:10:01 PM
sec_side_29_side,8,3/8/1959 6:23:04 AM
sec_side_33_side,3,12/14/1972 11:21:45 AM
sec_sro_sro,5,6/18/1952 6:30:59 AM
sec_corner_19_corner,2,8/19/2005 12:57:44 PM
sec_side_27_side,10,9/11/1967 7:38:15 PM
sec_side_14_side,9,7/17/1993 6:58:50 AM
sec_end_20_end,4,11/15/1967 12:00:55 PM
sec_side_13_side,9,8/6/1954 8:06:43 AM
sec_corner_6_corner,2,9/14/1952 3:52:56 PM
sec_side_16_side,6,10/3/1966 5:12:16 PM
sec_sro_sro,5,8/24/1966 9:29:21 AM
sec_side_15_side,10,3/8/1967 4:28:57 AM
sec_pref_28_pref,2,5/21/1988 5:33:37 AM
sec_corner_37_corner,7,11/7/1989 6:44:28 PM
sec_side_11_side,10,12/14/1943 10:01:16 AM
sec_club_31_club,9,12/20/1966 1:13:10 AM
sec_end_21_end,9,10/11/1991 6:22:29 AM
sec_corner_5_corner,2,9/23/1968 5:34:47 PM
sec_corner_3_corner,6,12/17/2011 4:02:30 PM
sec_corner_25_corner,3,11/30/1948 7:27:46 AM
sec_clb_aut_clb_aut,2,12/21/1996 12:08:29 AM
sec_side_27_side,10,9/23/2019 10:58:15 PM
sec_corner_39_corner,4,8/7/1985 6:09:45 AM
sec_corner_19_corner,9,5/7/2009 1:28:39 AM
sec_side_11_side,3,2/22/1953 8:56:35 AM
sec_end_21_end,1,10/29/1952 3:38:02 PM
sec_side_34_side,9,7/2/1992 5:25:11 PM
sec_pref_31_pref,10,3/22/1962 7:51:21 PM
sec_pref_34_pref,8,10/14/1975 4:43:27 PM
sec_side_14_side,4,8/17/2001 7:04:13 AM
sec_pref_28_pref,7,1/13/1996 3:52:45 PM
sec_corner_38_corner,1,7/9/1963 3:47:08 PM
sec_pref_31_pref,9,3/28/1985 5:54:20 AM
sec_side_9_side,8,6/17/1945 9:17:07 PM
sec_clb_aut_clb_aut,1,3/5/1957 10:09:24 AM
sec_side_27_side,3,11/29/1960 2:57:42 PM
sec_side_8_side,8,6/7/1975 5:08:28 PM
sec_corner_18_corner,2,12/6/2010 6:24:53 PM
sec_corner_24_corner,9,8/5/1986 1:58:16 PM
sec_end_22_end,5,7/30/1949 4:06:03 PM
sec_corner_38_corner,10,2/7/1942 8:44:11 PM
sec_end_22_end,1,8/19/2001 2:21:03 AM
sec_side_12_side,6,9/8/1998 3:19:26 AM
sec_side_10_side,4,11/7/1941 1:01:49 PM
sec_end_40_end,1,12/1/1989 7:37:11 PM
sec_side_12_side,6,10/15/1958 1:35:34 PM
sec_sro_sro,8,10/3/1999 5:25:07 AM
sec_side_11_side,5,1/19/1985 12:02:01 PM
sec_club_32_club,6,7/26/2011 7:13:21 AM
sec_side_16_side,4,3/19/1963 1:02:12 AM
sec_club_33_club,4,1/31/1947 9:22:30 PM
sec_end_1_end,8,9/21/1994 4:09:03 AM
sec_pref_34_pref,1,8/10/1957 7:10:21 AM
sec_club_29_club,3,2/21/1944 10:56:59 PM
sec_pref_31_pref,5,3/16/2016 1:41:18 PM
sec_side_26_side,6,12/11/2016 4:30:16 AM
sec_sro_sro,3,7/9/1958 1:50:08 PM
sec_corner_17_corner,8,3/31/1968 12:37:40 AM
sec_pref_32_pref,6,4/25/2013 7:04:11 AM
sec_corner_19_corner,4,10/12/1954 4:44:29 AM
sec_side_9_side,6,2/16/1972 2:50:54 AM
sec_end_21_end,3,3/4/1994 2:51:47 PM
sec_corner_19_corner,9,4/13/1986 5:53:38 PM
sec_end_1_end,7,9/2/2001 9:13:29 AM
sec_end_22_end,9,8/16/2017 4:29:45 AM
sec_corner_24_corner,1,9/7/1999 2:52:03 AM
sec_side_28_side,2,2/20/1984 6:07:57 AM
sec_corner_37_corner,8,12/27/1982 9:52:57 AM
sec_end_21_end,8,2/18/1981 4:15:48 PM
sec_side_11_side,9,5/21/2016 4:15:47 PM
sec_corner_25_corner,6,1/30/1951 12:21:05 PM
sec_side_11_side,6,8/9/1989 1:29:21 AM
sec_pref_28_pref,6,4/9/2014 1:03:11 PM
sec_side_36_side,10,8/7/1995 10:57:12 PM
sec_pref_34_pref,3,11/9/1976 1:05:50 AM
sec_side_29_side,5,9/12/1963 4:31:36 PM
sec_corner_37_corner,2,3/8/1982 3:11:00 PM
sec_side_15_side,1,5/29/1961 12:25:32 PM
sec_club_33_club,3,12/14/1992 9:17:14 PM
sec_sro_sro,3,7/6/2019 2:00:59 AM
sec_corner_39_corner,5,9/5/1976 7:11:07 PM
sec_pref_28_pref,10,8/1/1947 6:00:20 AM
sec_side_7_side,6,11/27/2010 7:41:38 PM
sec_end_22_end,10,8/7/1940 2:49:03 AM
sec_side_27_side,5,3/11/1954 10:34:10 PM
sec_side_7_side,10,9/10/2010 5:06:30 PM
sec_end_21_end,4,5/20/1990 1:38:19 AM
sec_side_36_side,8,4/20/1944 2:03:17 PM
sec_side_27_side,4,12/30/1977 4:53:05 AM
sec_sro_sro,5,3/15/2012 8:57:31 AM
sec_side_7_side,3,9/1/1988 3:16:45 PM
sec_side_14_side,5,1/6/1953 12:41:21 AM
sec_end_21_end,6,11/24/1990 12:03:19 PM
sec_corner_5_corner,1,3/13/1943 2:05:05 PM
sec_corner_4_corner,8,11/14/1986 9:49:27 AM
sec_side_36_side,1,9/8/2014 6:28:55 AM
sec_corner_19_corner,3,11/10/1985 12:05:47 AM
sec_corner_17_corner,8,8/17/1953 7:01:03 PM
sec_corner_24_corner,8,2/17/2014 5:58:12 PM
sec_corner_37_corner,3,4/19/1985 7:14:28 PM
sec_end_20_end,7,3/8/2005 6:06:42 PM
sec_side_11_side,6,4/27/1986 6:12:17 AM
sec_side_36_side,9,9/18/1988 5:27:23 AM
sec_club_30_club,5,12/17/1943 12:42:24 AM
sec_side_36_side,4,2/16/1956 8:44:26 PM
sec_pref_34_pref,2,10/15/1987 10:36:11 AM
sec_end_22_end,9,7/24/1940 5:36:33 AM
sec_side_9_side,3,11/8/1960 8:49:13 AM
sec_side_13_side,8,2/9/1956 5:01:05 PM
sec_side_16_side,2,11/19/1951 9:27:31 PM
sec_side_29_side,4,8/26/1993 1:06:04 PM
sec_side_15_side,10,1/12/2016 12:57:03 AM
sec_pref_31_pref,9,11/23/1975 12:34:13 AM
sec_end_2_end,7,11/8/2019 1:32:38 AM
sec_end_2_end,4,6/10/1973 7:26:31 AM
sec_corner_25_corner,4,9/11/1954 1:42:57 AM
sec_corner_4_corner,3,2/8/1947 2:54:34 AM
sec_side_26_side,4,10/4/2005 4:16:36 AM
sec_side_14_side,3,6/3/1956 12:17:18 PM
sec_corner_23_corner,1,12/30/1961 10:01:48 AM
sec_club_29_club,10,6/1/1980 4:21:48 AM
sec_pref_28_pref,3,3/23/1969 11:07:28 AM
sec_pref_32_pref,2,12/21/1998 7:38:54 PM
sec_pref_31_pref,9,10/25/1972 8:18:15 AM
sec_side_10_side,6,5/19/2017 10:05:06 PM
sec_club_29_club,9,5/2/2001 9:51:48 AM
sec_side_8_side,3,9/14/2007 5:14:04 PM
sec_corner_18_corner,5,5/3/1986 10:24:48 PM
sec_side_8_side,10,2/28/1977 12:48:34 PM
sec_pref_34_pref,10,3/5/1961 8:25:00 AM
sec_club_30_club,7,1/12/1970 3:13:16 AM
sec_corner_39_corner,10,8/6/1976 8:07:19 AM
sec_club_29_club,9,2/18/1973 8:30:04 PM
sec_side_8_side,4,4/28/1987 12:47:41 AM
sec_side_15_side,1,4/3/1949 12:34:41 PM
sec_end_40_end,7,12/12/1941 6:35:33 AM
sec_corner_38_corner,8,12/28/2001 5:09:43 PM
sec_end_22_end,9,6/23/1982 2:53:40 AM
sec_side_36_side,7,12/30/1947 5:30:01 AM
sec_corner_18_corner,7,7/3/2008 2:26:10 AM
sec_pref_28_pref,5,4/3/2011 2:08:43 PM
sec_side_7_side,7,2/7/2013 5:34:34 PM
sec_end_40_end,5,8/25/1968 5:19:33 PM
sec_club_30_club,8,2/3/2018 5:36:49 AM
sec_corner_3_corner,1,10/19/1986 6:36:42 PM
sec_side_15_side,8,5/24/2019 12:06:43 AM
sec_side_35_side,3,10/8/1984 10:32:51 AM
sec_side_16_side,4,11/5/1986 1:08:59 PM
sec_side_16_side,1,4/22/1999 8:36:17 PM
sec_pref_31_pref,5,12/5/1958 7:56:06 PM
sec_club_29_club,1,6/15/1968 9:23:37 PM
sec_corner_23_corner,8,10/18/1959 2:06:42 PM
sec_corner_6_corner,9,8/23/1992 8:16:33 AM
sec_side_7_side,1,1/6/2013 2:09:24 AM
sec_corner_24_corner,9,2/21/1964 5:30:47 PM
sec_side_11_side,5,12/5/1983 12:52:03 AM
sec_club_29_club,8,8/26/1982 7:58:29 PM
sec_cb_cb,1,7/1/1981 3:56:39 AM
sec_club_29_club,8,10/20/2016 4:10:51 AM
sec_corner_37_corner,1,10/4/1980 12:18:42 PM
sec_side_7_side,10,8/25/2006 8:15:19 AM
sec_side_29_side,3,5/20/1982 3:57:59 AM
sec_side_9_side,7,8/7/1971 7:17:45 PM
sec_side_10_side,5,1/21/1999 9:02:35 AM
sec_corner_19_corner,4,11/11/1946 4:17:54 PM
sec_end_21_end,4,12/16/1990 12:31:18 PM
sec_side_36_side,5,8/3/1980 7:26:05 AM
sec_side_9_side,8,1/10/1999 10:04:30 AM
sec_end_22_end,8,8/12/1997 4:11:02 AM
sec_corner_6_corner,2,6/18/1967 2:13:17 PM
sec_end_21_end,4,9/18/2001 7:33:17 AM
sec_side_29_side,7,2/13/1945 8:40:14 AM
sec_cb_cb,6,7/31/1997 12:51:47 AM
sec_cb_cb,9,4/3/1963 3:13:24 PM
sec_side_35_side,3,10/3/1941 4:46:17 AM
sec_pref_30_pref,3,10/31/1946 8:24:16 AM
sec_club_32_club,10,12/26/1976 7:50:25 AM
sec_pref_32_pref,6,8/29/2001 6:14:24 AM
sec_cb_cb,5,2/25/1976 8:19:18 PM
sec_corner_4_corner,4,9/5/2008 3:06:38 PM
sec_corner_17_corner,2,6/15/1967 11:57:15 AM
sec_end_2_end,8,11/18/1976 1:13:59 PM
sec_corner_19_corner,1,10/19/2009 7:39:39 AM
sec_side_14_side,2,12/18/2011 1:08:41 AM
sec_side_26_side,5,6/27/1973 4:45:14 PM
sec_side_16_side,8,10/3/1989 9:44:11 AM
sec_side_34_side,5,1/9/1945 11:42:51 AM
sec_corner_37_corner,5,5/12/1944 12:00:23 AM
sec_corner_17_corner,4,9/30/2002 1:31:08 PM
sec_club_30_club,6,4/27/1968 4:48:34 AM
sec_corner_23_corner,9,3/7/2009 4:00:42 PM
sec_side_29_side,5,3/23/1948 7:17:25 PM
sec_corner_39_corner,5,8/16/1988 4:37:22 AM
sec_club_31_club,2,2/22/1975 4:05:32 PM
sec_corner_24_corner,10,11/10/1997 12:56:14 PM
sec_corner_6_corner,10,2/6/1958 1:34:33 AM
sec_end_2_end,9,3/15/2012 6:28:49 PM
sec_corner_37_corner,4,11/25/1954 4:19:31 PM
sec_side_7_side,3,8/6/1958 7:35:51 AM
sec_club_29_club,10,2/21/1999 8:14:21 AM
sec_corner_37_corner,3,4/22/2015 9:46:24 PM
sec_side_34_side,9,10/26/1948 6:53:37 AM
sec_club_33_club,1,5/7/1946 9:41:57 PM
sec_club_29_club,8,9/9/1985 12:30:40 PM
sec_side_28_side,8,5/8/1995 6:39:26 PM
sec_corner_25_corner,3,12/22/1978 5:52:31 AM
sec_side_16_side,9,11/25/1951 3:38:53 PM
sec_club_31_club,2,4/21/2007 1:23:38 PM
sec_side_15_side,4,4/27/1957 9:30:48 AM
sec_end_2_end,3,7/15/1961 3:27:37 AM
sec_side_33_side,7,3/19/2010 6:07:32 AM
sec_end_20_end,3,5/20/2009 5:59:29 AM
sec_corner_6_corner,7,7/17/1993 1:24:46 AM
sec_end_20_end,10,10/29/2005 1:04:13 AM
sec_pref_31_pref,7,6/6/1998 8:43:16 PM
sec_pref_30_pref,5,2/18/1972 6:46:29 PM
sec_end_21_end,5,1/6/2001 10:58:02 AM
sec_corner_39_corner,2,9/7/1982 8:45:53 AM
sec_corner_25_corner,6,11/29/1943 9:25:58 PM
sec_corner_17_corner,3,10/25/1941 10:22:53 PM
sec_corner_5_corner,9,5/13/1943 4:48:51 AM
sec_corner_17_corner,8,11/12/1967 5:47:48 AM
sec_corner_38_corner,2,2/16/1994 7:27:00 AM
sec_corner_38_corner,4,8/23/1975 7:38:39 AM
sec_side_16_side,1,11/2/1941 4:55:15 PM
sec_corner_19_corner,4,10/23/1994 11:03:10 AM
sec_side_13_side,3,9/18/1982 3:55:14 PM
sec_club_30_club,9,12/30/1989 11:51:37 AM
sec_side_28_side,8,8/6/2009 6:46:40 PM
sec_end_40_end,2,2/13/1970 10:39:07 AM
sec_side_13_side,6,9/29/2014 9:18:56 AM
sec_corner_23_corner,3,7/16/2006 3:39:13 AM
sec_side_9_side,8,6/1/1998 8:16:15 AM
sec_side_15_side,3,6/12/1979 2:42:54 PM
sec_side_16_side,6,5/11/1944 3:28:36 AM
sec_end_21_end,7,10/16/1969 2:58:07 PM
sec_corner_38_corner,2,10/21/1992 6:12:11 PM
sec_corner_23_corner,7,7/12/2015 12:12:13 AM
sec_side_29_side,6,12/12/1986 10:17:01 PM
sec_corner_18_corner,3,12/12/2019 9:43:59 PM
sec_corner_18_corner,4,9/4/1987 3:44:50 AM
sec_side_14_side,3,5/25/1965 8:39:39 AM
sec_side_26_side,3,1/23/1989 7:00:24 PM
sec_side_11_side,3,5/11/1957 11:19:27 AM
sec_side_11_side,3,10/14/2008 7:21:04 AM
sec_corner_38_corner,1,11/2/1992 10:44:04 AM
sec_side_33_side,8,12/10/1993 2:40:43 PM
sec_side_29_side,6,9/9/1954 9:13:03 PM
sec_corner_39_corner,2,7/23/1995 8:01:37 PM
sec_side_8_side,3,3/8/1979 6:25:20 AM
sec_club_29_club,3,2/25/1982 6:09:15 AM
sec_end_2_end,2,8/22/2009 10:34:11 AM
sec_corner_37_corner,1,5/28/2006 3:57:39 AM
sec_corner_17_corner,7,8/14/1971 9:33:45 AM
sec_pref_30_pref,2,4/5/1971 10:06:04 AM
sec_corner_3_corner,7,2/9/1994 5:01:05 PM
sec_side_7_side,7,2/27/1961 12:39:08 AM
sec_corner_25_corner,4,7/28/1974 9:21:45 PM
sec_side_34_side,6,1/24/1978 6:06:43 AM
sec_corner_24_corner,4,1/24/1976 3:02:25 PM
sec_club_29_club,3,8/17/1963 1:55:07 PM
sec_side_29_side,1,3/2/1980 8:16:40 PM
sec_pref_30_pref,3,6/28/1952 9:24:10 PM
sec_pref_28_pref,1,1/12/1995 3:46:35 AM
sec_corner_4_corner,8,8/26/1957 7:28:06 AM
sec_club_29_club,9,4/10/2014 10:55:01 PM
sec_side_28_side,10,4/2/1970 7:18:08 PM
sec_side_16_side,2,2/25/2012 7:23:27 AM
sec_side_28_side,8,1/20/1987 8:38:58 AM
sec_end_40_end,1,9/3/1943 12:48:48 AM
sec_side_15_side,4,2/14/1965 5:47:23 AM
sec_side_15_side,6,10/19/1948 5:05:27 PM
sec_club_31_club,4,8/31/1992 4:42:18 PM
sec_side_14_side,2,1/4/2004 12:11:22 AM
sec_side_27_side,3,5/22/2015 6:13:28 PM
sec_corner_6_corner,7,3/7/1994 1:26:39 PM
sec_end_22_end,9,2/27/1960 1:52:51 AM
sec_corner_19_corner,4,5/24/2002 12:19:11 PM
sec_pref_32_pref,2,11/16/1950 10:49:19 AM
sec_corner_25_corner,7,6/21/2004 3:41:43 AM
sec_side_34_side,7,9/7/2015 8:31:21 PM
sec_corner_19_corner,2,11/28/1951 12:42:04 PM
sec_club_33_club,6,3/10/1947 1:57:10 AM
sec_side_11_side,3,2/29/1972 12:05:21 PM
sec_pref_30_pref,8,12/20/2009 8:10:18 AM
sec_end_21_end,1,6/12/1962 1:21:21 PM
sec_corner_25_corner,2,10/9/2018 10:42:08 PM
sec_clb_aut_clb_aut,4,5/17/1978 2:00:32 PM
sec_corner_23_corner,8,1/24/1940 10:57:08 PM
sec_pref_30_pref,8,1/27/1949 4:37:06 AM
sec_side_29_side,7,8/13/1951 8:17:26 PM
sec_end_20_end,7,7/15/1972 11:13:01 AM
sec_side_34_side,7,3/8/2001 6:22:14 PM
sec_pref_28_pref,5,11/6/2012 5:33:18 PM
sec_corner_37_corner,4,11/5/1968 8:00:22 AM
sec_side_15_side,2,12/9/1984 1:57:07 PM
sec_side_10_side,5,5/8/1987 7:58:25 AM
sec_end_21_end,5,9/9/2004 9:09:50 PM
sec_corner_4_corner,7,7/10/1993 12:38:46 PM
sec_club_31_club,4,9/1/1968 7:13:58 PM
sec_pref_30_pref,5,4/21/1956 8:44:13 AM
sec_corner_39_corner,7,7/13/2004 12:57:45 AM
sec_club_30_club,3,6/14/1991 8:04:15 AM
sec_corner_17_corner,8,10/15/1940 12:03:17 PM
sec_side_11_side,6,7/12/2002 5:03:06 PM
sec_side_10_side,1,10/15/1958 8:42:51 AM
sec_pref_28_pref,9,8/8/1954 2:56:30 AM
sec_side_34_side,4,5/23/2010 9:59:19 PM
sec_end_2_end,6,7/17/1990 3:57:06 PM
sec_sro_sro,2,5/6/1943 9:38:24 AM
sec_side_28_side,6,1/12/1978 12:20:58 AM
sec_side_33_side,5,8/20/1979 7:34:02 PM
sec_side_28_side,2,12/10/1972 7:55:13 AM
sec_corner_4_corner,7,8/12/1998 3:05:04 PM
sec_side_26_side,9,4/4/1986 4:33:25 PM
sec_corner_23_corner,7,10/22/1960 11:43:41 AM
sec_corner_37_corner,7,6/26/1967 8:42:00 PM
sec_side_11_side,4,4/11/1985 9:58:58 PM
sec_corner_23_corner,4,5/27/1945 12:43:08 PM
sec_corner_3_corner,3,6/2/1989 7:53:49 AM
sec_corner_37_corner,4,1/26/1977 2:38:15 PM
sec_sro_sro,6,2/22/1967 8:58:22 AM
sec_side_34_side,10,6/24/1974 3:03:26 AM
sec_corner_4_corner,4,8/12/2013 10:52:41 PM
sec_side_27_side,10,8/10/1992 1:41:27 AM
